break,pair,guessed,confidence,best_score,bad_reason,kick,snare,hat,ghost_snare,rms,peak,sub_r,low_r,mid_r,high_r,air_r,low_total,high_total,zcr,tail_ratio,centroid
Camo_Break_-_3A,0,snare,0.054892,0.058787,,-1.885584,0.058787,-0.076785,0.003895,0.114002,0.999939,0.000341,0.008667,0.047481,0.788624,0.100281,0.009007,0.888905,0.221151,0.099785,0.449579
Camo_Break_-_3A,1,kick,22.60366,14.904505,,14.904505,-10.111974,-10.362939,-7.699155,0.136057,0.958099,0.005465,0.85697,0.008291,0.08201,0.01755,0.862435,0.099561,0.080238,0.350181,0.065837
Camo_Break_-_3A,2,hat,0.035787,0.632848,,-2.659135,-0.013838,0.632848,0.597061,0.051693,0.611053,0.00053,0.004062,0.022019,0.86411,0.100897,0.004592,0.965007,0.256025,0.0,0.478261
Camo_Break_-_3A,3,hat,1.646534,0.818399,,-2.426635,-1.231804,0.818399,-0.828135,0.119566,0.883896,0.000919,0.003013,0.012111,0.652109,0.309187,0.003932,0.961296,0.27247,0.0,0.594017
Camo_Break_-_3A,4,kick,23.26317,15.182024,,15.182024,-10.800975,-9.903723,-8.081146,0.101992,0.953247,0.007149,0.84138,0.008491,0.092287,0.018904,0.848529,0.111191,0.077119,0.127655,0.071555
Camo_Break_-_3A,5,snare,0.051215,0.177258,,-1.984153,0.177258,0.021333,0.126043,0.112965,0.999939,0.000361,0.007907,0.04434,0.791784,0.100198,0.008268,0.891982,0.24837,0.091328,0.450518
Camo_Break_-_3A,6,hat,0.318973,0.680015,,-2.815873,0.073134,0.680015,0.361042,0.082847,0.74968,0.000397,0.005633,0.008436,0.824431,0.159534,0.00603,0.983965,0.277289,0.100361,0.517899
Camo_Break_-_3A,7,snare,0.017733,0.013838,,-1.916238,0.013838,-0.021333,-0.003895,0.113143,0.999939,0.000354,0.008526,0.043263,0.794701,0.101457,0.00888,0.896158,0.220868,0.092399,0.452792
Camo_Break_-_3A,8,kick,22.258586,14.692166,,14.692166,-9.925199,-10.296049,-7.56642,0.13501,0.964264,0.004904,0.84662,0.009342,0.087175,0.018604,0.851525,0.105778,0.084208,0.360231,0.069246
Camo_Break_-_3A,9,hat,0.031316,0.668967,,-2.689847,0.017673,0.668967,0.63765,0.051856,0.647308,0.000531,0.005498,0.019135,0.867509,0.100579,0.006029,0.968088,0.265665,0.0,0.47904
Camo_Break_-_3A,10,hat,1.673729,0.962398,,-2.596098,-1.120406,0.962398,-0.711331,0.119081,0.870407,0.000688,0.001054,0.009035,0.664517,0.313541,0.001742,0.978058,0.286362,0.0,0.60296
Camo_Break_-_3A,11,kick,23.2225,15.149201,,15.149201,-10.792795,-9.845969,-8.073298,0.101473,0.965378,0.005822,0.838104,0.009633,0.093315,0.019357,0.843926,0.112672,0.078821,0.108916,0.072607
Camo_Break_-_3A,12,snare,0.057426,0.228575,,-2.015848,0.228575,0.046349,0.171149,0.112386,0.999939,0.000322,0.006288,0.045885,0.792621,0.099167,0.00661,0.891787,0.254324,0.086624,0.450019
Camo_Break_-_3A,13,snare,0.418492,1.869211,,-3.960838,1.869211,-0.073662,1.450719,0.145346,0.999939,0.000458,0.004378,0.007977,0.827252,0.158259,0.004836,0.985512,0.277857,0.586734,0.517782
